REGION,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Region I - Ilocos Region," 5,748 "," 5,737 "," 6,949 "," 6,870 "," 7,007 "," 7,492 "," 7,624 "," 7,078 "," 7,959 "," 6,683 "," 4,984 "," 4,889 "," 6,146 "," 5,603 "," 5,970 "," 5,999 "," 7,364 "," 7,035 "," 7,857 "," 8,387 "," 7,441 "," 8,903 "," 10,899 "," 9,569 "," 8,906 "," 8,322 "," 8,738 "," 10,554 "," 9,480 "," 9,271 "," 8,364 "," 6,831 "," 1,563 "
Region II - Cagayan Valley, 701 , 705 , 766 , 811 , 872 , 962 ," 1,146 "," 1,005 "," 1,230 "," 1,047 ", 753 , 848 , 796 , 891 ," 1,031 "," 1,007 "," 1,263 "," 1,168 "," 1,640 "," 1,528 "," 1,416 "," 1,906 "," 2,100 "," 2,115 "," 2,111 "," 1,876 "," 2,043 "," 3,363 "," 2,888 "," 3,012 "," 2,361 "," 2,110 ", 464 
Region III - Central Luzon," 12,087 "," 11,198 "," 12,266 "," 11,559 "," 12,433 "," 10,849 "," 10,510 "," 9,502 "," 10,245 "," 8,951 "," 6,280 "," 6,456 "," 7,867 "," 7,805 "," 8,740 "," 8,215 "," 9,648 "," 10,152 "," 11,965 "," 12,546 "," 10,898 "," 12,927 "," 14,168 "," 13,280 "," 13,427 "," 12,624 "," 13,196 "," 15,199 "," 14,469 "," 12,598 "," 11,772 "," 10,478 "," 2,552 "
Region IV A - CALABARZON," 6,438 "," 6,481 "," 7,512 "," 7,441 "," 7,623 "," 8,119 "," 8,397 "," 7,325 "," 8,261 "," 7,577 "," 5,411 "," 5,574 "," 7,390 "," 8,364 "," 8,783 "," 8,461 "," 10,019 "," 11,325 "," 13,500 "," 13,542 "," 12,611 "," 15,022 "," 16,657 "," 16,672 "," 15,670 "," 15,562 "," 15,645 "," 16,620 "," 16,258 "," 14,298 "," 12,832 "," 11,204 "," 2,877 "
Region IV B - MIMAROPA, 227 , 211 , 249 , 179 , 230 , 313 , 281 , 247 , 282 , 221 , 227 , 197 , 291 , 275 , 281 , 295 , 340 , 395 , 378 , 412 , 402 , 544 , 641 , 682 , 702 , 645 , 603 , 723 , 724 , 708 , 626 , 608 , 142 
Region V - Bicol Region, 766 , 609 , 812 , 815 , 842 , 873 , 892 , 735 , 847 , 800 , 604 , 672 , 767 , 837 , 940 , 871 ," 1,019 "," 1,106 "," 1,438 "," 1,294 "," 1,120 "," 1,363 "," 1,236 "," 1,489 "," 1,476 "," 1,441 "," 1,507 "," 1,792 "," 1,898 "," 1,682 "," 1,604 "," 1,454 ", 338 
Region VI - Western Visayas," 1,434 "," 1,270 "," 1,771 "," 1,598 "," 1,792 "," 2,097 "," 1,970 "," 1,533 "," 1,700 "," 1,604 "," 1,189 "," 1,141 "," 1,572 "," 1,730 "," 2,122 "," 2,063 "," 2,584 "," 2,464 "," 3,358 "," 2,807 "," 2,339 "," 2,573 "," 3,012 "," 3,013 "," 3,344 "," 2,891 "," 3,551 "," 4,119 "," 3,617 "," 3,223 "," 3,498 "," 2,833 ", 652 
Region VII - Central Visayas," 2,295 "," 2,276 "," 2,599 "," 2,754 "," 3,036 "," 3,346 "," 3,021 "," 2,419 "," 2,724 "," 2,740 "," 2,064 "," 2,354 "," 2,901 "," 3,231 "," 4,161 "," 3,738 "," 4,339 "," 4,912 "," 6,256 "," 5,398 "," 4,391 "," 4,917 "," 5,134 "," 5,250 "," 5,711 "," 5,281 "," 5,383 "," 6,149 "," 6,296 "," 5,778 "," 5,429 "," 5,018 "," 1,221 "
Region VIII - Eastern Visayas, 558 , 536 , 605 , 643 , 710 , 830 , 698 , 626 , 694 , 677 , 532 , 567 , 627 , 587 , 798 , 713 , 940 , 907 ," 1,253 "," 1,304 "," 1,241 "," 1,331 "," 1,355 "," 1,301 "," 1,462 "," 1,399 "," 1,435 "," 1,621 "," 1,621 "," 1,407 "," 1,352 "," 1,373 ", 301 
Region IX - Zamboanga Peninsula, 214 , 185 , 250 , 259 , 322 , 385 , 424 , 270 , 385 , 377 , 251 , 316 , 379 , 380 , 540 , 509 , 585 , 626 ," 1,022 ", 805 , 685 , 789 , 677 , 875 , 956 , 817 , 822 , 988 , 967 , 838 , 879 , 787 , 199 
